sid	time	Ppara	Cyp3a11	Cyp24a1	Nos2	Nfkbia	Cyp2c39	Nr3c1	Cyp1a2	Abcb1a	Sult1b1	Gstp1	Cxcl15	Cebpa	Nr1h3	Sod2	Sult1a1	Gstm1	Cyp4a10	Hmox1	Ahr	Cebpd	Slc10a1	Gsta2	Dpyd	Socs3	Vdr	Nr2f2	Rxra	Cyp7a1	Ugt1a1	Socs1	Abcg2	Abcc2	Por	Cyp2c37	Nr1i2	Cebpb	Nr0b2	Cyp2b10	Nr2f1	Cyp2d22	Act B	Hnf4a	Hk2	Ptgs2	Nr1i3	Cyp2c29
1	0h	1.4215682896	0.8891787033	9.7642739986	0.4013258155	0.1782749838	0.2522543237	0.9197484446	2.4736826659	0.164235626	1.2113529063	1.1353677213	0.0036638141	1.3959770996	0.6636454511	0.7046757867	0.4768463548	0.5419972988	2.497303183	0.4612186078	0.5638193828	0.4943214651	1.5270774534	0.6690751984	1.1400586949	0.5568293536	0.3799749025	0.8966502365	0.8984188678	1.0212262017	1.1254668643	0.6108460474	0.9261927083	0.7058550274	0.5689693311	2.3514006454	0.5734529711	0.6148179638	0.1549540049	0.9940729172	0.5452514194	1.1690757606	0.642947484	0.8971516546	0.2428821673	0.3385505679	0.7230718132	2.112303048
2	0h	2.0292143021	0.8651388773	0.1350886399	0.3640469278	14.2860093616	0.6760921879	1.4713696965	3.1919463859	0.4264115269	2.5398532963	1.3580068979	191.837882486	2.473933708	1.3185001122	1.1292459305	0.6316484939	0.8204544312	2.3649737087	0.426802388	0.9569060064	1.001185868	2.2005084721	0.9022963301	1.4925921158	0.6230811011	2.3347634435	1.5546967295	1.2621755285	1.5799754586	1.6331390027	1.5708202893	1.3497132256	1.2832656968	0.6915935541	3.1762924905	0.8802985918	0.726451625	21.9244288281	1.3303897349	2.7551903727	1.6289459768	0.7130195203	1.4323723344	1.0112178053	2.3261362295	1.0195389022	2.3652149842
3	0h	1.8044803695	1.0737269876	9.5027886795	0.4733044345	0.2309316117	0.3937943549	0.9285510328	2.5805136512	0.5202448436	1.4647149149	1.4206438273	0.2796588502	1.9127648763	0.9780241529	1.010980077	0.5622515449	0.3843723115	1.469052025	0.5323766498	0.6994046631	0.3258317493	1.7356572241	0.6762290545	1.01145937	0.2862947943	0.2330046736	1.4226189053	0.9777757612	2.0249250086	1.2321277451	0.3289289486	1.0264320322	0.994121638	0.8855403636	1.5756749145	0.7605351529	0.6958638518	0.3372736291	0.5882786714	0.7139805724	1.0375731748	0.7529263042	1.025018458	0.4568079534	0.1768364162	0.7736067013	1.6169231406
4	0h	2.5907448613	0.6016354213	0.9045143916	2.7794305661	91.852655334	1.591727482	1.7705919979	2.6742000812	1.7594791011	3.118776646	1.1991534511	1465.0065911467	1.9005266075	1.3838921324	1.3426225714	0.697905162	0.7264835157	2.1594584281	0.5500033362	1.1160990031	2.0327377929	2.3605596088	1.1920909155	1.4006253914	0.6424644562	19.8431657992	2.0247036541	1.3867448425	4.3794203966	1.6715546777	3.0862171508	1.4950705885	1.790111104	1.2238606298	2.0323596333	1.1048436062	0.9384538348	0.1453688354	2.9369916945	8.4627114738	1.5073196451	0.5956104301	1.1200634292	3.0311861588	20.0917575025	1.7487939746	1.3461090386
5	0h	1.5619353285	0.4971430522	0.3705257155	0.0898063246	0.1026943296	0.3147761068	0.90301215	2.131743711	0.2531590146	0.954513185	1.5057342802	0.0004911699	1.2665289791	0.8216820941	0.8600582903	0.5398203694	0.4103597436	0.1594070583	0.2664564087	0.7277453423	0.77313915	1.4052814565	0.2324044169	1.1313478263	0.5590564542	0.1586966065	0.834065485	1.0291717366	4.0040630953	0.9334723128	0.6501972015	0.9522968647	0.9471767862	1.2220402631	0.9267034363	0.6451606542	0.7752258256	0.1053756881	0.7615651975	0.3756063113	0.8040389197	0.5858055484	0.7421442997	0.4091690627	0.0601628623	0.8205096171	1.0619068544
6	6h	2.0224053071	0.830022266	2818.8471290918	10.2788951336	304.1503193534	2.900982453	1.8790825992	2.0588386312	2.7529045235	3.2383482516	1.2577355718	4897.2931115288	1.7613294106	1.5812078797	1.2803537534	0.9400863664	0.5947079268	8.0233613482	1.9252272982	1.2484184371	5.9199440691	1.4721553957	0.6707881065	1.1834704251	3.5325352472	59.1629944746	1.6356356531	1.5601786877	0.7155113702	1.3083697259	8.6751564229	1.7760688158	1.1427393341	1.1350794446	1.7132815689	1.6886917437	1.596000127	496.4630596703	18.2659322106	26.7043360678	1.2666522724	0.955161714	1.8157539234	6.1534102742	46.1991265272	1.1839965483	1.9974995607
7	6h	1.4065563648	0.7232925161	3663.0112848345	12.8236162527	346.1824079642	3.3446414575	1.8442018976	2.0228964142	3.7231543791	3.4956730233	1.0574339262	6443.1381551712	1.4723357935	1.5970329546	1.5023782853	1.2323553202	0.6882397231	4.5011357853	2.1967746722	1.3944830479	5.3450992144	1.2472549823	1.2934864024	1.3048264442	4.3895254671	71.7534472918	1.3724862193	1.4317123955	0.5496395029	1.3541160533	13.106484975	1.744798076	0.9513594817	0.8575326909	2.1843796265	1.5086075471	1.6174794027	655.5157397259	19.1107657003	29.5336556302	1.2708357661	1.0562659434	1.5644948433	6.9868137569	58.4785721069	1.0255954884	1.9597198781
8	6h	1.2302870029	0.7691061191	1442.2995059119	3.7962568497	150.2088148757	1.6349735804	1.3624367198	2.0710988146	2.1670192663	2.7530515809	1.094615405	2230.7696068353	1.0986658913	1.1139071082	1.2206183788	1.2261105222	0.6977851031	4.0751420645	2.1684867326	0.9782433562	2.758588373	1.4051445743	0.754880517	1.1995708537	2.6278258879	26.217414535	1.0732041316	1.1852336191	0.2890387912	1.3966548906	3.9030670534	1.4329477122	1.0307854499	1.5149234738	1.6648634595	2.0133479649	1.6762400871	193.1691631184	7.9222599912	10.5728393092	1.3207547406	0.8915976772	1.5142598931	3.4001010116	23.2005398724	0.8343571299	1.7745426767
9	6h	1.16878653	0.9621670196	125.6804343741	0.2606329958	0.0106113734	0.2816046198	0.7316794081	2.0898523006	0.1711930039	0.9214413663	1.1482991212	0.0963062059	1.1236358546	0.6962865598	0.7706917827	0.6890951266	0.4655330398	4.0549000267	0.9088277331	0.7178114894	0.7865529421	1.214243933	0.4936705829	0.9887310439	1.2534050262	0.4345409434	0.6889653024	1.018182938	0.5132423705	0.9425075456	1.0848837925	0.8668193067	0.5990920072	0.8030358696	1.7447197663	0.6463133407	0.784994526	228.5293511041	2.1988777142	0.5025947042	0.9652669781	0.7475292161	0.9713506987	0.3521951063	0.5996976894	0.5567937363	2.1544374689
10	6h	1.4883115296	0.9428179408	403.2930588125	0.0257983089	0.6380565809	0.4031918237	0.9298297205	2.6736282728	0.196693099	1.4305171629	1.3601631414	0.3667334604	1.5222324861	0.8204652111	0.8803603116	0.6734775474	0.6968701263	2.8840324886	0.5917259641	0.7300409845	0.6615577488	1.7610115975	0.6054033217	1.2174268478	0.9693652293	0.0497672266	1.0164954845	1.119209977	0.8477811678	1.2197699769	0.9401118273	1.0502829778	0.8786821596	0.9485809478	2.2437985787	0.8613842317	0.6115767083	451.4391636078	0.9082723417	0.6189130723	1.1767374189	0.6410608398	1.1455000159	0.2688505484	0.1786506187	0.6605374789	2.3098075789
